category_id,title,parent_1,parent_2,parent_3
castles,Castles,arts,,
catalan,Catalan,restaurants,,
catering,Caterers,eventservices,,
cellphoneaccessories,Mobile Phone Accessories,shopping,,
centralbrazilian,Central Brazilian,brazilian,,
ceremonialclothing,Ceremonial Clothing,fashion,,
challengecourses,Challenge Courses,active,,
champagne_bars,Champagne Bars,bars,,
cheekufta,Chee Kufta,turkish,,
cheerleading,Cheerleading,specialtyschools,,
cheese,Cheese Shops,gourmet,,
cheesesteaks,Cheesesteaks,restaurants,,
cheesetastingclasses,Cheese Tasting Classes,tastingclasses,,
chicken_wings,Chicken Wings,restaurants,,
chickenshop,Chicken Shop,restaurants,,
childbirthedu,Childbirth Education,specialtyschools,,
childcare,Child Care & Day Care,localservices,,
childcloth,Children's Clothing,fashion,,
childproofing,Childproofing,homeservices,,
childrensmuseums,Children's Museums,museums,,
chilean,Chilean,restaurants,,
chimneycakes,Chimney Cakes,food,,
chimneysweeps,Chimney Sweeps,homeservices,,
chinese,Chinese,restaurants,,
chinesebazaar,Chinese Bazaar,shopping,,
chinesemartialarts,Chinese Martial Arts,martialarts,,
chiropractors,Chiropractors,health,,
chocolate,Chocolatiers & Shops,gourmet,,
choirs,Choirs,arts,,
christmastrees,Christmas Trees,homeandgarden,,
churches,Churches,religiousorgs,,
churros,Churros,food,,
cideries,Cideries,food,,
cigarbars,Cigar Bars,bars,,
circuittraininggyms,Circuit Training Gyms,gyms,,
circusschools,Circus Schools,specialtyschools,,
civiccenter,Civic Center,publicservicesgovt,,
climbing,Climbing,active,,
clockrepair,Clock Repair,localservices,,
clothingrental,Clothing Rental,fashion,,
clowns,Clowns,eventservices,,
clubcrawl,Club Crawl,nightlife,,
cocktailbars,Cocktail Bars,bars,,
coffee,Coffee & Tea,food,,
coffeeroasteries,Coffee Roasteries,food,,
coffeeshops,Coffeeshops,nightlife,,
coffeeteasupplies,Coffee & Tea Supplies,food,,
collegecounseling,College Counseling,education,,
collegeuniv,Colleges & Universities,education,,
colombian,Colombian,latin,,
colonics,Colonics,health,,
comedyclubs,Comedy Clubs,nightlife,,
comfortfood,Comfort Food,restaurants,,
comicbooks,Comic Books,media,,
commercialrealestate,Commercial Real Estate,realestate,,
commissionedartists,Commissioned Artists,professional,,
communitybookbox,Community Book Box,localservices,,
communitycenters,Community Centers,publicservicesgovt,,
communitygardens,Community Gardens,localservices,,
computers,Computers,shopping,,
concept_shops,Concept Shops,shopping,,
conciergemedicine,Concierge Medicine,health,,
condominiums,Condominiums,realestate,,
congee,Congee,chinese,,
consumerlaw,Consumer Law,lawyers,,
contractlaw,Contract Law,lawyers,,
contractors,Contractors,homeservices,,
convenience,Convenience Stores,food,,
conveyorsushi,Conveyor Belt Sushi,japanese,,
cookingclasses,Cooking Classes,artsandcrafts,,
cookingschools,Cooking Schools,specialtyschools,,
